"","lat","lng","name","chem"
"223",36.0211,-84.1567,"US TVA BULL RUN FOSSIL PLANT","POLYCYCLIC AROMATIC COMPOUNDS"
"224",21.348472,-157.944147,"JOINT BASE PEARL HARBOR-HICKAM HAWAII","N-BUTYL ALCOHOL"
"225",35.67238,-75.89237,"U.S. DOD, USAF, DARE COUNTY BOMB RANGE","LEAD COMPOUNDS"
"226",33.54,-112.3567,"US DOD USAF BARRY M GOLDWATER RANGE","ALUMINUM (FUME OR DUST)"
"227",38.753333,-104.765556,"US ARMY FORT CARSON (CANTONMENT)","LEAD COMPOUNDS"
"228",24.565474,-81.795547,"US DOD NAS KEY WEST","LEAD"
"229",24.565474,-81.795547,"US DOD NAS KEY WEST","LEAD"
"230",37.817128,-94.290777,"US ARMY NATIONAL GUARD CAMP CLARK RANGES","LEAD"
"231",33.306669,-117.3408,"U.S. MARINE CORPS MCB CAMP PENDLETON","NITROGLYCERIN"
"232",36.0278,-87.9861,"US TVA JOHNSONVILLE FOSSIL PLANT","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)"
"233",36.890574,-76.353221,"US NAVY DEFENSE FUEL SUPPORT POINT CRANEY ISLAND","NAPHTHALENE"
"234",37.4189,-77.4485,"US DEFENSE LOGISTICS AGENCY DEFENSE SUPPLY CENTER RICHMOND","BROMOCHLORODIFLUOROMETHANE"
"235",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","ALUMINUM (FUME OR DUST)"
"236",21.317542,-157.988312,"US MARINE CORPS BASE HAWAII PUULOA TRAINING FACILITY","LEAD"
"237",38.543888,-89.852301,"US AIR FORCE/SCOTT AIR FORCE BASE","NAPHTHALENE"
"238",44.632533,-84.776026,"US ARMY NATIONAL GUARD CAMP GRAYLING JMTC SOUTH","LEAD"
"239",34.23123,-116.05622,"U.S. MARINE CORPS TWENTYNINE PALMS AIR GROUND COMBAT CENTER","PHOSPHORUS (YELLOW OR WHITE)"
"240",34.9,-76.8917,"U.S. MARINE CORPS CHERRY POINT AIR STATION","BENZENE"
"241",34.717781,-77.342919,"MCIEAST-MCB CAMLEJ MAIN FACILITY","ETHYLENE GLYCOL"
